Product,Quantity_Wednesday_25_March,Price,Quantity_Thursday_26_March,Purchased_Friday_27_March,Purchased_Tuesday_31_March,Removed_Tuesday_31_March,Quantity_Wednesday_1_April,Purchased_Thursday_2_April,Removed_Thursday_2_April,Quantity_Monday_6_April,sales_Quantity_Wednesday_25_March_to_Quantity_Thursday_26_March,sales_Quantity_Thursday_26_March_to_Quantity_Wednesday_1_April,sales_Quantity_Wednesday_1_April_to_Quantity_Monday_6_April,Category,purchase_price,price_source,unit_profit,total_sold,total_profit,dormant_capital,no_sales
Seditas,5,20,5,0,0,0,5,0,0,5,0,0,0,Limpieza,17.39,Estimated,2.61,0,0.0,86.95,True
Kleenex servitoalla,1,35,1,0,0,0,1,0,0,1,0,0,0,Papel,30.43,Estimated,4.57,0,0.0,30.43,True
Veladora limonerito,41,12,41,0,0,0,41,0,0,41,0,0,0,Velas,10.43,Estimated,1.57,0,0.0,427.63,True
Semanal (1/2) grande,5,45,5,0,0,0,5,0,0,5,0,0,0,Velas,39.13,Estimated,5.87,0,0.0,195.65,True
Blanca Nieves 250g,10,11,10,0,0,0,10,0,0,10,0,0,0,Limpieza,9.57,Estimated,1.43,0,0.0,95.7,True
Vogue 600 hojas 6 rollos,4,60,4,0,0,0,4,0,0,4,0,0,0,Papel,52.17,Estimated,7.83,0,0.0,208.68,True
Salvo 900ml,3,50,3,0,0,0,3,0,0,3,0,0,0,Limpieza,43.48,Estimated,6.52,0,0.0,130.44,True
Salvo 215ml,11,16,11,0,0,0,11,0,0,11,0,0,0,Limpieza,13.91,Estimated,2.09,0,0.0,153.01,True
Cangrejo,3,62,3,0,0,0,3,0,0,3,0,0,0,Dulces,53.91,Estimated,8.09,0,0.0,161.73,True
Pecositas,3,68,3,0,0,0,3,0,0,3,0,0,0,Dulces,59.13,Estimated,8.87,0,0.0,177.39,True
Winis mini,3,60,3,0,0,0,3,0,0,3,0,0,0,Dulces,52.17,Estimated,7.83,0,0.0,156.51,True
Winis unicornio,3,32,3,0,0,0,3,0,0,3,0,0,0,Dulces,27.83,Estimated,4.17,0,0.0,83.49,True
Frutaffy fresa 24pz,2,30,2,3,0,0,5,0,0,5,0,0,0,Dulces,25.2,Ticket,4.8,0,0.0,126.0,True
Lucas gusano 10pz,2,80,2,3,0,0,5,0,0,5,0,0,0,Dulces,71.3,Ticket,8.7,0,0.0,356.5,True
Monedas nucita 48pz,2,80,2,0,0,0,2,0,0,2,0,0,0,Dulces,69.57,Estimated,10.43,0,0.0,139.14,True
