Product,Category,total_sold
Regio verde 600 hojas 4 rollos,Papel,41
Sanitas,Limpieza,35
Santa Clara entera,Lácteos,24
Semanal,Velas,20
Quality 600 hojas 6 rollos,Papel,16
Santa Clara deslactosada,Lácteos,14
Sol limón,Botanas,14
Top tops salsa negra,Botanas,14
Sol taco original,Botanas,14
Sol adobada,Botanas,13
Solchesitos queso,Botanas,12
Sol rifaditas,Botanas,11
Sol original,Botanas,11
Pétalo jumbo servitoalla,Papel,11
Sol taco extremo,Botanas,11
Sol extrema,Botanas,10
Solchesitos extremo,Botanas,9
Nutrí clásica,Lácteos,9
Cloro 1.17L,Limpieza,8
Pétalo 500 hojas 6 rollos,Papel,7
Top tops moradas,Botanas,7
Alpura deslactosada,Lácteos,7
Media semana,Velas,6
Sol nachos original,Botanas,6
Vogue 600 hojas 4 rollos,Papel,6
Sol salsa negra,Botanas,5
Mini mamut 28pz,Dulces,5
Fabuloso frescura verde,Limpieza,5
Duvalín fresa vainilla,Dulces,4
Vove,Dulces,4
Veladora limonero,Velas,4
Sol habanero,Botanas,4
Repuesto veladora Arrugada,Velas,4
Nutrí deslactosada,Lácteos,4
Roma 500g,Limpieza,3
Fabuloso frescura morado,Limpieza,3
Suavitel amarillo tapa normal,Limpieza,3
Ferrero 8pz 100g,Chocolates,3
Zote 400g,Limpieza,3
Canels original,Dulces,3
Sol jalapeño,Botanas,3
Pulparindo grande chile,Dulces,3
Tix tix 30pz,Dulces,3
Roma 1Kg,Limpieza,3
Winis paleta unicornio,Dulces,3
Kinder delice,Chocolates,3
Winis dragón maxi tubo,Dulces,3
Duvalín avellana vainilla,Dulces,3
Duvalín avellana fresa,Dulces,3
Astridix 30pz,Dulces,2
Pétalo 400 hojas 4 rollos,Papel,2
Poett 900ml,Limpieza,2
Llaves,Dulces,2
Blanca Nieves 500g,Limpieza,2
Roma 250g,Limpieza,2
Suavitel morado tapa flor,Limpieza,2
Semana y media,Velas,2
Ferrero 10pz 125g,Chocolates,2
Suavitel amarillo tapa flor,Limpieza,2
Repuesto veladora lisa,Velas,2
Salvo 500ml,Limpieza,2
Suavitel azul tapa normal,Limpieza,2
Cloro gel 950ml,Limpieza,2
Cloro 500ml,Limpieza,2
Bubbaloo fresa,Dulces,1
Animalitos,Dulces,1
Dartañan,Dulces,1
Bubbaloo mora azul,Dulces,1
Bubulubu mini,Dulces,1
Sol chipotle,Botanas,1
Bombones medianos,Dulces,1
Vallmond flor 5pz,Chocolates,1
Bubbaloo tuttifruti,Dulces,1
Winis sirena maxi tubo,Dulces,1
Vallmond 12pz,Chocolates,1
Alpura clásica,Lácteos,1
Fabuloso frescura azul,Limpieza,1
Huevito,Dulces,1
Pulparindo original,Dulces,1
Bubbaloo piña chamoy,Dulces,1
Vogue 400 hojas 4 rollos,Papel,1
Frutsffy manzana verde 24pz,Dulces,1
Chupa chups mini 8,Dulces,1
Vallmond corazón pequeño 3pz,Chocolates,1
Pulparindo mini chile,Dulces,1
Vallmond corazón grande 16pz,Chocolates,1
Pinol 500ml,Limpieza,1
Pinol 825ml,Limpieza,1
Pinol 1L,Limpieza,1
Ferrero 4pz 50g,Chocolates,1
Ferrero 24pz 300g,Chocolates,0
Turín avellana,Chocolates,0
Chocoreta,Dulces,0
Bianchi café,Dulces,0
Bianchi amarillo,Dulces,0
Gatucos 240g,Chocolates,0
Sol nachos extremo,Botanas,0
Picard chocolate licor de café,Chocolates,0
Picard chocolate tequila,Chocolates,0
Turín fresa,Chocolates,0
Solchesito dedito,Botanas,0
Solchesitos dedito,Botanas,0
Kisses 76g,Chocolates,0
Kiss grande 41.5g,Chocolates,0
Colosseo corazón pequeño 31g,Chocolates,0
Vallmond corazón mediano 8pz,Chocolates,0
Giselle 100g,Chocolates,0
Giselle 160g 16pz,Chocolates,0
Turín original,Chocolates,0
Seditas,Limpieza,0
Luminiscente rojo,Dulces,0
Bubbaloo plátano,Dulces,0
Winis unicornio,Dulces,0
Mac'Ma abanico,Dulces,0
Mac'Ma presidente,Dulces,0
Mac'Ma parisién,Dulces,0
Mac'Ma pícolo,Dulces,0
Mac'Ma selecciones,Dulces,0
Jugos sabo 12pz,Dulces,0
Monedas nucita 48pz,Dulces,0
Lucas gusano 10pz,Dulces,0
Frutaffy fresa 24pz,Dulces,0
Winis mini,Dulces,0
Ice,Dulces,0
Pecositas,Dulces,0
Cangrejo,Dulces,0
Salvo 215ml,Limpieza,0
Salvo 900ml,Limpieza,0
Vogue 600 hojas 6 rollos,Papel,0
Blanca Nieves 250g,Limpieza,0
Semanal (1/2) grande,Velas,0
Veladora limonerito,Velas,0
Kleenex servitoalla,Papel,0
Mac'Ma caja pequeña barquillos,Dulces,0
Mac'Ma caja pequeña doncellas,Dulces,0
Mac'Ma caja pequeña natta,Dulces,0
Mac'Ma caja pequeña fresa,Dulces,0
Malvabony,Dulces,0
Pelón mini,Dulces,0
Aciditos,Dulces,0
Kranky,Dulces,0
Paleta hueso,Dulces,0
Paleta coca,Dulces,0
Paleta Pollito,Dulces,0
Paleta sandía,Dulces,0
Tarrito,Dulces,0
Bombones corazón,Dulces,0
Bombones ositos conejos pollitos,Dulces,0
Bombones fresita,Dulces,0
Bombones enrollados,Dulces,0
Bombones grandes,Dulces,0
Mazapan original pequeño,Dulces,0
Mazapán original grande,Dulces,0
Pica fresa,Dulces,0
Pop trueno,Dulces,0
Bocadín 50pz,Dulces,0
M&M's 6 pack,Chocolates,0
