Product,Quantity_Wednesday_25_March,Price,Quantity_Thursday_26_March,Purchased_Friday_27_March,Purchased_Tuesday_31_March,Removed_Tuesday_31_March,Quantity_Wednesday_1_April,Purchased_Thursday_2_April,Removed_Thursday_2_April,Quantity_Monday_6_April,sales_Quantity_Wednesday_25_March_to_Quantity_Thursday_26_March,sales_Quantity_Thursday_26_March_to_Quantity_Wednesday_1_April,sales_Quantity_Wednesday_1_April_to_Quantity_Monday_6_April,Category,purchase_price,price_source,unit_profit,total_sold,total_profit,dormant_capital,no_sales,daily_velocity,recommended_min_stock,needs_restock
Seditas,5,20,5,0,0,0,5,0,0,5,0,0,0,Limpieza,17.39,Estimated,2.61,0,0.0,86.95,True,0.0,0.0,False
Sanitas,42,12,41,0,0,20,29,0,0,27,1,32,2,Limpieza,10.43,Estimated,1.57,35,54.95,0.0,False,2.92,8.76,False
Suavitel morado tapa flor,6,25,6,0,0,0,4,0,0,4,0,2,0,Limpieza,21.74,Estimated,3.26,2,6.52,0.0,False,0.17,0.51,False
Suavitel amarillo tapa flor,3,25,3,0,0,0,1,0,0,1,0,2,0,Limpieza,21.74,Estimated,3.26,2,6.52,0.0,False,0.17,0.51,False
Suavitel amarillo tapa normal,5,25,5,0,0,0,3,6,0,8,0,2,1,Limpieza,20.83,Ticket,4.17,3,12.51,0.0,False,0.25,0.75,False
Suavitel azul tapa normal,2,25,2,0,0,0,0,0,0,0,0,2,0,Limpieza,20.83,Ticket,4.17,2,8.34,0.0,False,0.17,0.51,True
Kleenex servitoalla,1,35,1,0,0,0,1,0,0,1,0,0,0,Papel,30.43,Estimated,4.57,0,0.0,30.43,True,0.0,0.0,False
Cloro 1.17L,13,18,12,0,0,0,5,0,9,14,1,7,0,Limpieza,15.65,Estimated,2.35,8,18.8,0.0,False,0.67,2.01,False
Cloro gel 950ml,8,24,8,0,0,0,6,0,2,8,0,2,0,Limpieza,20.87,Estimated,3.13,2,6.26,0.0,False,0.17,0.51,False
Cloro 500ml,9,9,9,0,0,0,8,0,2,9,0,1,1,Limpieza,7.83,Estimated,1.17,2,2.34,0.0,False,0.17,0.51,False
Pinol 1L,4,30,4,0,0,0,3,0,0,3,0,1,0,Limpieza,26.09,Estimated,3.91,1,3.91,0.0,False,0.08,0.24,False
Pinol 825ml,5,25,4,0,0,0,4,0,0,4,1,0,0,Limpieza,21.74,Estimated,3.26,1,3.26,0.0,False,0.08,0.24,False
Pinol 500ml,3,18,3,0,0,0,2,0,0,2,0,1,0,Limpieza,15.65,Estimated,2.35,1,2.35,0.0,False,0.08,0.24,False
Fabuloso frescura morado,3,25,3,0,0,2,4,0,0,2,0,1,2,Limpieza,21.74,Estimated,3.26,3,9.78,0.0,False,0.25,0.75,False
Fabuloso frescura azul,3,25,3,0,0,0,2,0,0,2,0,1,0,Limpieza,21.74,Estimated,3.26,1,3.26,0.0,False,0.08,0.24,False
Fabuloso frescura verde,4,25,3,0,0,2,3,0,0,1,1,2,2,Limpieza,21.74,Estimated,3.26,5,16.3,0.0,False,0.42,1.26,True
Santa Clara entera,14,30,5,12,6,0,8,18,0,26,9,15,0,Lácteos,25.83,Ticket,4.17,24,100.08,0.0,False,2.0,6.0,False
Santa Clara deslactosada,30,30,30,0,0,0,24,0,0,16,0,6,8,Lácteos,25.83,Ticket,4.17,14,58.38,0.0,False,1.17,3.51,False
Alpura clásica,22,28,22,0,0,0,22,0,0,21,0,0,1,Lácteos,24.35,Estimated,3.65,1,3.65,0.0,False,0.08,0.24,False
Alpura deslactosada,22,29,21,0,0,0,19,0,0,15,1,2,4,Lácteos,25.22,Estimated,3.78,7,26.46,0.0,False,0.58,1.74,False
Nutrí clásica,1,21,0,12,12,0,17,0,0,16,1,7,1,Lácteos,18.26,Estimated,2.74,9,24.66,0.0,False,0.75,2.25,False
Nutrí deslactosada,11,24,11,0,0,0,8,0,0,7,0,3,1,Lácteos,20.87,Estimated,3.13,4,12.52,0.0,False,0.33,0.99,False
Repuesto veladora Arrugada,54,14,54,0,0,0,54,0,0,50,0,0,4,Velas,12.17,Estimated,1.83,4,7.32,0.0,False,0.33,0.99,False
Repuesto veladora lisa,40,16,40,0,0,0,38,0,0,38,0,2,0,Velas,13.91,Estimated,2.09,2,4.18,0.0,False,0.17,0.51,False
Veladora limonerito,41,12,41,0,0,0,41,0,0,41,0,0,0,Velas,10.43,Estimated,1.57,0,0.0,427.63,True,0.0,0.0,False
Veladora limonero,21,20,21,0,0,15,36,0,0,32,0,0,4,Velas,17.39,Estimated,2.61,4,10.44,0.0,False,0.33,0.99,False
Semanal,22,30,22,0,0,0,8,0,0,2,0,14,6,Velas,26.09,Estimated,3.91,20,78.2,0.0,False,1.67,5.01,True
Media semana,6,19,6,0,0,18,24,0,0,18,0,0,6,Velas,16.52,Estimated,2.48,6,14.88,0.0,False,0.5,1.5,False
Semana y media,4,70,3,0,0,0,2,0,0,2,1,1,0,Velas,60.87,Estimated,9.13,2,18.26,0.0,False,0.17,0.51,False
