Producto,Cantidad_miércoles_25_marzo,Precio,Cantidad_jueves_26_marzo,Viernes_27_marzo_se_compró,Martes_31_marzo_se_compró,Martes_31_marzo_se_sacó,Cantidad_miércoles_1_abril,Jueves_2_abril_se_compró,Jueves_2_abril_se_sacó,Cantidad_lunes_6_abril
Seditas,5,20,5,0,0,0,5,0,0,5
Sanitas,42,12,41,0,0,20,29,0,0,27
Suavitel morado tapa flor,6,25,6,0,0,0,4,0,0,4
Suavitel amarillo tapa flor,3,25,3,0,0,0,1,0,0,1
Suavitel amarillo tapa normal,5,25,5,0,0,0,3,6,0,8
Suavitel azul tapa normal,2,25,2,0,0,0,0,0,0,0
Kleenex servitoalla,1,35,1,0,0,0,1,0,0,1
Cloro 1.17L,13,18,12,0,0,0,5,0,9,14
Cloro gel 950ml,8,24,8,0,0,0,6,0,2,8
Cloro 500ml,9,9,9,0,0,0,8,0,2,9
Pinol 1L,4,30,4,0,0,0,3,0,0,3
Pinol 825ml,5,25,4,0,0,0,4,0,0,4
Pinol 500ml,3,18,3,0,0,0,2,0,0,2
Fabuloso frescura morado,3,25,3,0,0,2,4,0,0,2
Fabuloso frescura azul,3,25,3,0,0,0,2,0,0,2
Fabuloso frescura verde,4,25,3,0,0,2,3,0,0,1
Santa Clara entera,14,30,5,12,6,0,8,18,0,26
Santa Clara deslactosada,30,30,30,0,0,0,24,0,0,16
Alpura clásica,22,28,22,0,0,0,22,0,0,21
Alpura deslactosada,22,29,21,0,0,0,19,0,0,15
Nutrí clásica,1,21,0,12,12,0,17,0,0,16
Nutrí deslactosada,11,24,11,0,0,0,8,0,0,7
Repuesto veladora Arrugada,54,14,54,0,0,0,54,0,0,50
Repuesto veladora lisa,40,16,40,0,0,0,38,0,0,38
Veladora limonerito,41,12,41,0,0,0,41,0,0,41
Veladora limonero,21,20,21,0,0,15,36,0,0,32
Semanal,22,30,22,0,0,0,8,0,0,2
Media semana,6,19,6,0,0,18,24,0,0,18
Semana y media,4,70,3,0,0,0,2,0,0,2
Semanal (1/2) grande,5,45,5,0,0,0,5,0,0,5
Roma 1Kg,1,39,1,0,10,0,9,0,0,8
Roma 500g,4,21,4,0,0,0,2,10,0,11
Roma 250g,5,11,4,0,0,0,3,20,0,23
Blanca Nieves 500g,8,21,8,0,0,0,8,0,0,6
Blanca Nieves 250g,10,11,10,0,0,0,10,0,0,10
Pétalo 500 hojas 6 rollos,11,58,9,0,0,0,6,0,0,4
Pétalo 400 hojas 4 rollos,8,36,6,0,0,0,6,0,0,6
Pétalo jumbo servitoalla,16,27,15,0,0,0,6,12,0,17
Regio verde 600 hojas 4 rollos,8,38,7,24,24,0,23,0,0,15
Vogue 600 hojas 6 rollos,4,60,4,0,0,0,4,0,0,4
Vogue 600 hojas 4 rollos,18,38,18,0,0,0,16,0,0,12
Vogue 400 hojas 4 rollos,14,34,14,0,0,0,14,0,0,13
Quality 600 hojas 6 rollos,10,50,10,18,0,0,14,0,0,12
Salvo 900ml,3,50,3,0,0,0,3,0,0,3
Salvo 500ml,10,30,9,0,0,0,8,0,0,8
Salvo 215ml,11,16,11,0,0,0,11,0,0,11
Zote 400g,12,20,12,0,0,0,9,0,0,9
Poett 900ml,12,20,11,0,0,0,10,0,0,10
Pulparindo mini chile,3,40,2,0,0,0,2,0,0,2
Pulparindo grande chile,3,42,3,3,0,0,3,0,0,3
Pulparindo original,3,42,2,3,0,0,5,0,0,5
Huevito,3,62,3,0,0,0,2,0,0,2
Cangrejo,3,62,3,0,0,0,3,0,0,3
Pecositas,3,68,3,0,0,0,3,0,0,3
Winis mini,3,60,3,0,0,0,3,0,0,3
Winis unicornio,3,32,3,0,0,0,3,0,0,3
Winis sirena maxi tubo,3,32,2,3,0,0,5,0,0,5
Winis dragón maxi tubo,3,32,3,3,0,0,3,0,0,3
